<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
BBLGW,D,20230727,2.39,2.65,2.25,2.25,4800
BBSI,D,20230727,91.19,91.19,89.285,90.07,24900
BCAB,D,20230727,2.94,3,2.76,2.79,199800
BCAL,D,20230727,15,15.2,14.97,15.18,5300
BCAN,D,20230727,1.3,1.3,1.23,1.275,94700
BCBP,D,20230727,13.03,13.035,12.7346,12.8,51600
BCDA,D,20230727,1,1.01,0.88,0.898,438900
BCEL,D,20230727,0.93,0.9705,0.9049,0.93,173300
BCLI,D,20230727,1.63,1.64,1.48,1.51,233800
BCML,D,20230727,19.04,19.9,19,19.63,70500
BCOV,D,20230727,3.96,3.98,3.9,3.94,175000
BCOW,D,20230727,7.75,8,7.75,8,1800
BCPC,D,20230727,129.27,129.76,127.81,128.54,143000
BCRX,D,20230727,7.95,7.95,7.71,7.75,5806000
BCSA,D,20230727,10.94,10.94,10.9,10.9006,2700
BCSAW,D,20230727,0.0263,0.0263,0.0263,0.0263,50000
BCTX,D,20230727,6.07,6.1914,5.99,6,56100
BCTXW,D,20230727,2.21,2.39,2.21,2.28,3100
BCYC,D,20230727,24.2,24.5,23.17,23.91,165000
BDGS,D,20230727,25.74,25.81,25.72,25.7342,9600
BDRX,D,20230727,6.66,7.12,5.9001,6.04,234100
BDSX,D,20230727,1.05,1.075,1.03,1.04,26600
BDTX,D,20230727,3.86,3.8999,3.4,3.4,1298100
BEAM,D,20230727,32.51,32.64,29.77,29.81,951000
BEAT,D,20230727,2.91,2.948,2.73,2.9,40000
BEATW,D,20230727,0.37,0.485,0.37,0.485,1800
BECN,D,20230727,84.18,84.6599,82.535,82.92,284400
BEEM,D,20230727,11.26,11.465,10.37,10.42,122200
BEEMW,D,20230727,5.18,5.4495,4.4601,5.07,2400
BELFA,D,20230727,60.75,60.75,55.02,59.02,17600
BELFB,D,20230727,57,58.75,53.72,57.15,363100
